dataset,year_limit,nodes,edges,largest_component_nodes,largest_component_edges,sample_size,seed,estimated_average_distance,execution_time_seconds
article,1960,4531,3141,102,113,16,0,5.657178217821782,2481.797
article,1970,23847,18292,2131,2406,16,0,19.59718309859155,2481.797
article,1980,79866,69000,21904,25493,16,0,17.867540976121994,2481.797
article,1990,215946,210017,98816,121560,16,0,15.71422481404645,2481.797
article,2000,612432,702023,409009,550411,16,0,14.688006713805109,2481.797
article,2010,1691142,2347223,1377090,2116275,16,0,12.60685120932634,2481.797
article,2020,4274943,7570928,3861967,7275180,16,0,11.12434358238783,2481.797
article,2023,5356567,10210962,4920082,9900627,16,0,10.08327965027405,2481.797
book,1960,51,29,4,3,4,0,1.6666666666666667,2481.797
book,1970,176,98,4,3,4,0,1.6666666666666667,2481.797
book,1980,769,466,10,9,10,0,2.488888888888889,2481.797
book,1990,4004,2569,33,45,16,0,3.6015625,2481.797
book,2000,13434,9160,72,79,16,0,4.869718309859155,2481.797
book,2010,25156,17755,174,208,16,0,12.277456647398845,2481.797
book,2020,38148,27075,188,223,16,0,11.09692513368984,2481.797
book,2023,40719,29039,199,219,16,0,8.74810606060606,2481.797
incollection,1960,0,0,0,0,0,0,0.0,2481.797
incollection,1970,13,8,3,2,3,0,1.3333333333333333,2481.797
incollection,1980,175,116,12,12,12,0,3.3484848484848486,2481.797
incollection,1990,1657,1207,41,48,16,0,4.3125,2481.797
incollection,2000,11270,8662,345,413,16,0,10.152616279069768,2481.797
incollection,2010,71401,58610,11221,13671,16,0,25.540970365418893,2481.797
incollection,2020,145398,131791,49214,62358,16,0,23.29864060309268,2481.797
incollection,2023,151028,138403,53543,67672,16,0,21.19897463673378,2481.797
inproceedings,1960,2054,1371,36,36,16,0,6.642857142857143,2481.797
inproceedings,1970,9231,6633,113,139,16,0,7.122767857142857,2481.797
inproceedings,1980,43836,36668,10594,12281,16,0,16.42745209100349,2481.797
inproceedings,1990,174309,176273,86433,109888,16,0,16.162902628656052,2481.797
inproceedings,2000,632432,825362,480009,711632,16,0,13.772486213771437,2481.797
inproceedings,2010,2128788,3575430,1897459,3407057,16,0,11.579427219205906,2481.797
inproceedings,2020,4778523,9295548,4474039,9074076,16,0,10.71257650806721,2481.797
inproceedings,2023,5367426,10682633,5052388,10454674,16,0,10.066929626530984,2481.797
mastersthesis,1960,0,0,0,0,0,0,0.0,2481.797
mastersthesis,1970,0,0,0,0,0,0,0.0,2481.797
mastersthesis,1980,0,0,0,0,0,0,0.0,2481.797
mastersthesis,1990,2,1,2,1,2,0,1.0,2481.797
mastersthesis,2000,14,7,2,1,2,0,1.0,2481.797
mastersthesis,2010,24,12,2,1,2,0,1.0,2481.797
mastersthesis,2020,42,21,2,1,2,0,1.0,2481.797
mastersthesis,2023,42,21,2,1,2,0,1.0,2481.797
phdthesis,1960,57,29,3,2,3,0,1.3333333333333333,2481.797
phdthesis,1970,667,336,3,2,3,0,1.3333333333333333,2481.797
phdthesis,1980,4244,2143,4,3,4,0,1.6666666666666667,2481.797
phdthesis,1990,21230,10716,5,4,5,0,2.0,2481.797
phdthesis,2000,49136,24681,5,4,5,0,2.0,2481.797
phdthesis,2010,101406,50821,5,4,5,0,2.0,2481.797
phdthesis,2020,203840,102081,5,4,5,0,2.0,2481.797
phdthesis,2023,219771,110068,5,4,5,0,2.0,2481.797
proceedings,1960,24,0,1,0,1,0,0.0,2481.797
proceedings,1970,97,0,1,0,1,0,0.0,2481.797
proceedings,1980,504,0,1,0,1,0,0.0,2481.797
proceedings,1990,1899,0,1,0,1,0,0.0,2481.797
proceedings,2000,6774,0,1,0,1,0,0.0,2481.797
proceedings,2010,21778,0,1,0,1,0,0.0,2481.797
proceedings,2020,48774,10,7,6,7,0,1.7142857142857142,2481.797
proceedings,2023,54499,18,8,7,8,0,1.75,2481.797
